citizen,country,time,TOTAL,TOTAL_POS
AF,CH,2012Q3,125.0,40.0
AF,CH,2012Q4,110.0,40.0
AF,CH,2013Q1,170.0,80.0
AF,CH,2013Q2,220.0,165.0
AF,CH,2013Q3,220.0,165.0
AF,CH,2013Q4,360.0,290.0
AF,CH,2014Q1,590.0,520.0
AF,CH,2014Q2,605.0,565.0
AF,CH,2014Q3,485.0,450.0
AF,CH,2014Q4,390.0,345.0
AF,CH,2015Q1,385.0,295.0
AF,CH,2015Q2,285.0,220.0
AF,CH,2015Q3,320.0,165.0
AF,CH,2015Q4,365.0,130.0
AF,CH,2016Q1,950.0,245.0
AF,CH,2016Q2,655.0,285.0
AF,CH,2016Q3,435.0,330.0
AF,CH,2016Q4,610.0,550.0
AF,CH,2017Q1,765.0,755.0
AF,CH,2017Q2,720.0,700.0
AF,CH,2017Q3,775.0,760.0
AF,CH,2017Q4,,
AF,CY,2008Q1,0.0,0.0
AF,CY,2008Q2,0.0,0.0
AF,CY,2008Q3,0.0,0.0
AF,CY,2008Q4,0.0,0.0
AF,CY,2009Q1,0.0,0.0
AF,CY,2009Q2,0.0,0.0
AF,CY,2009Q3,15.0,0.0
AF,CY,2009Q4,25.0,0.0
AF,CY,2010Q1,5.0,0.0
AF,CY,2010Q2,5.0,0.0
AF,CY,2010Q3,15.0,0.0
AF,CY,2010Q4,10.0,0.0
AF,CY,2011Q1,5.0,0.0
AF,CY,2011Q2,15.0,0.0
AF,CY,2011Q3,10.0,0.0
AF,CY,2011Q4,0.0,0.0
AF,CY,2012Q1,0.0,0.0
AF,CY,2012Q2,0.0,0.0
AF,CY,2012Q3,5.0,0.0
AF,CY,2012Q4,15.0,0.0
AF,CY,2013Q1,10.0,0.0
AF,CY,2013Q2,10.0,0.0
AF,CY,2013Q3,0.0,0.0
AF,CY,2013Q4,5.0,0.0
AF,CY,2014Q1,0.0,0.0
AF,CY,2014Q2,0.0,0.0
AF,CY,2014Q3,0.0,0.0
AF,CY,2014Q4,0.0,0.0
AF,CY,2015Q1,0.0,0.0
AF,CY,2015Q2,0.0,0.0
AF,CY,2015Q3,0.0,0.0
AF,CY,2015Q4,0.0,0.0
AF,CY,2016Q1,0.0,0.0
AF,CY,2016Q2,0.0,0.0
AF,CY,2016Q3,0.0,0.0
AF,CY,2016Q4,0.0,0.0
AF,CY,2017Q1,5.0,5.0
AF,CY,2017Q2,0.0,0.0
AF,CY,2017Q3,0.0,0.0
AF,CY,2017Q4,,
AF,CZ,2008Q1,5.0,0.0
AF,CZ,2008Q2,5.0,0.0
AF,CZ,2008Q3,10.0,0.0
AF,CZ,2008Q4,15.0,0.0
AF,CZ,2009Q1,10.0,10.0
AF,CZ,2009Q2,0.0,0.0
AF,CZ,2009Q3,0.0,0.0
AF,CZ,2009Q4,0.0,0.0
AF,CZ,2010Q1,0.0,0.0
AF,CZ,2010Q2,5.0,5.0
AF,CZ,2010Q3,0.0,0.0
AF,CZ,2010Q4,0.0,0.0
AF,CZ,2011Q1,0.0,0.0
AF,CZ,2011Q2,10.0,10.0
AF,CZ,2011Q3,0.0,0.0
AF,CZ,2011Q4,5.0,5.0
AF,CZ,2012Q1,5.0,0.0
AF,CZ,2012Q2,0.0,0.0
AF,CZ,2012Q3,0.0,0.0
AF,CZ,2012Q4,10.0,5.0
AF,CZ,2013Q1,0.0,0.0
AF,CZ,2013Q2,0.0,0.0
AF,CZ,2013Q3,0.0,0.0
AF,CZ,2013Q4,10.0,10.0
AF,CZ,2014Q1,5.0,0.0
AF,CZ,2014Q2,0.0,0.0
AF,CZ,2014Q3,5.0,0.0
AF,CZ,2014Q4,5.0,0.0
AF,CZ,2015Q1,5.0,0.0
AF,CZ,2015Q2,0.0,0.0
AF,CZ,2015Q3,10.0,5.0
AF,CZ,2015Q4,5.0,0.0
AF,CZ,2016Q1,5.0,5.0
AF,CZ,2016Q2,10.0,10.0
AF,CZ,2016Q3,5.0,5.0
AF,CZ,2016Q4,5.0,5.0
AF,CZ,2017Q1,15.0,0.0
AF,CZ,2017Q2,0.0,0.0
AF,CZ,2017Q3,5.0,0.0
AF,CZ,2017Q4,,
AF,DE,2008Q1,110.0,45.0
AF,DE,2008Q2,70.0,40.0
AF,DE,2008Q3,95.0,50.0
AF,DE,2008Q4,105.0,40.0
AF,DE,2009Q1,225.0,125.0
AF,DE,2009Q2,275.0,190.0
AF,DE,2009Q3,360.0,235.0
AF,DE,2009Q4,730.0,395.0
AF,DE,2010Q1,1015.0,505.0
AF,DE,2010Q2,1465.0,715.0
AF,DE,2010Q3,1380.0,575.0
AF,DE,2010Q4,1105.0,405.0
AF,DE,2011Q1,1725.0,630.0
AF,DE,2011Q2,1685.0,595.0
AF,DE,2011Q3,1935.0,580.0
AF,DE,2011Q4,1150.0,455.0
AF,DE,2012Q1,1115.0,410.0
AF,DE,2012Q2,1025.0,335.0
AF,DE,2012Q3,1270.0,565.0
AF,DE,2012Q4,1085.0,490.0
AF,DE,2013Q1,1315.0,615.0
AF,DE,2013Q2,1740.0,930.0
AF,DE,2013Q3,1635.0,790.0
AF,DE,2013Q4,1310.0,600.0
AF,DE,2014Q1,1215.0,745.0
AF,DE,2014Q2,1255.0,840.0
AF,DE,2014Q3,1525.0,1055.0
AF,DE,2014Q4,1150.0,770.0
AF,DE,2015Q1,915.0,610.0
AF,DE,2015Q2,940.0,690.0
AF,DE,2015Q3,795.0,655.0
AF,DE,2015Q4,1245.0,885.0
AF,DE,2016Q1,1740.0,1075.0
AF,DE,2016Q2,4755.0,2300.0
AF,DE,2016Q3,16705.0,8655.0
AF,DE,2016Q4,40205.0,26060.0
AF,DE,2017Q1,46745.0,21785.0
AF,DE,2017Q2,36005.0,16565.0
AF,DE,2017Q3,11895.0,5960.0
AF,DE,2017Q4,12955.0,4730.0
AF,DK,2008Q1,20.0,15.0
AF,DK,2008Q2,50.0,25.0
AF,DK,2008Q3,20.0,10.0
AF,DK,2008Q4,30.0,15.0
AF,DK,2009Q1,35.0,25.0
AF,DK,2009Q2,75.0,50.0
AF,DK,2009Q3,65.0,40.0
AF,DK,2009Q4,205.0,95.0
AF,DK,2010Q1,220.0,75.0
AF,DK,2010Q2,275.0,150.0
AF,DK,2010Q3,275.0,130.0
AF,DK,2010Q4,300.0,120.0
AF,DK,2011Q1,285.0,95.0
AF,DK,2011Q2,425.0,115.0
AF,DK,2011Q3,255.0,90.0
AF,DK,2011Q4,260.0,75.0
AF,DK,2012Q1,150.0,35.0
AF,DK,2012Q2,145.0,40.0
AF,DK,2012Q3,160.0,35.0
AF,DK,2012Q4,160.0,60.0
AF,DK,2013Q1,125.0,60.0
AF,DK,2013Q2,155.0,75.0
AF,DK,2013Q3,155.0,60.0
AF,DK,2013Q4,165.0,45.0
AF,DK,2014Q1,100.0,45.0
AF,DK,2014Q2,105.0,30.0
AF,DK,2014Q3,60.0,20.0
AF,DK,2014Q4,70.0,10.0
AF,DK,2015Q1,65.0,20.0
AF,DK,2015Q2,50.0,20.0
AF,DK,2015Q3,60.0,20.0
AF,DK,2015Q4,80.0,25.0
AF,DK,2016Q1,90.0,15.0
AF,DK,2016Q2,80.0,10.0
AF,DK,2016Q3,230.0,60.0
AF,DK,2016Q4,570.0,170.0
AF,DK,2017Q1,695.0,145.0
AF,DK,2017Q2,385.0,50.0
AF,DK,2017Q3,145.0,20.0
AF,DK,2017Q4,120.0,25.0
AF,EE,2008Q1,0.0,0.0
AF,EE,2008Q2,0.0,0.0
AF,EE,2008Q3,0.0,0.0
AF,EE,2008Q4,0.0,0.0
AF,EE,2009Q1,0.0,0.0
AF,EE,2009Q2,0.0,0.0
AF,EE,2009Q3,0.0,0.0
AF,EE,2009Q4,0.0,0.0
AF,EE,2010Q1,5.0,0.0
AF,EE,2010Q2,10.0,5.0
AF,EE,2010Q3,5.0,0.0
AF,EE,2010Q4,0.0,0.0
AF,EE,2011Q1,0.0,0.0
AF,EE,2011Q2,0.0,0.0
AF,EE,2011Q3,5.0,0.0
AF,EE,2011Q4,0.0,0.0
AF,EE,2012Q1,0.0,0.0
AF,EE,2012Q2,0.0,0.0
AF,EE,2012Q3,0.0,0.0
AF,EE,2012Q4,0.0,0.0
AF,EE,2013Q1,0.0,0.0
AF,EE,2013Q2,0.0,0.0
AF,EE,2013Q3,0.0,0.0
AF,EE,2013Q4,0.0,0.0
AF,EE,2014Q1,0.0,0.0
AF,EE,2014Q2,0.0,0.0
AF,EE,2014Q3,0.0,0.0
AF,EE,2014Q4,0.0,0.0
AF,EE,2015Q1,0.0,0.0
AF,EE,2015Q2,0.0,0.0
AF,EE,2015Q3,0.0,0.0
AF,EE,2015Q4,10.0,0.0
AF,EE,2016Q1,0.0,0.0
AF,EE,2016Q2,5.0,5.0
AF,EE,2016Q3,5.0,5.0
AF,EE,2016Q4,0.0,0.0
AF,EE,2017Q1,0.0,0.0
AF,EE,2017Q2,0.0,0.0
AF,EE,2017Q3,0.0,0.0
AF,EE,2017Q4,0.0,0.0
AF,EL,2008Q1,55.0,0.0
AF,EL,2008Q2,440.0,5.0
AF,EL,2008Q3,875.0,0.0
AF,EL,2008Q4,1130.0,15.0
AF,EL,2009Q1,410.0,0.0
AF,EL,2009Q2,445.0,10.0
AF,EL,2009Q3,485.0,10.0
AF,EL,2009Q4,255.0,0.0
AF,EL,2010Q1,80.0,0.0
AF,EL,2010Q2,65.0,5.0
AF,EL,2010Q3,35.0,10.0
AF,EL,2010Q4,30.0,0.0
AF,EL,2011Q1,85.0,25.0
AF,EL,2011Q2,80.0,5.0
AF,EL,2011Q3,90.0,5.0
AF,EL,2011Q4,65.0,5.0
AF,EL,2012Q1,95.0,5.0
AF,EL,2012Q2,95.0,5.0
AF,EL,2012Q3,45.0,0.0
AF,EL,2012Q4,135.0,15.0
